Номер	Год	Завод	ID детали
266307	2012	29	616753311
24661	1966	93	616755555
64460	2011	29	616758054
400655	2021	12	616761801
400561	2021	12	616761804
401528	2021	12	616761824
401900	2021	12	616761847
51125	2011	39	616766023
720979	1996	29	616766633
341951	1984	29	616766836
5834	2007	5	616771791
418400	1984	39	616775807
977836	1991	29	616778807
18214	1986	5	616779889
32467	2003	29	616788665
17313	1992	5	616791330
35519	1988	5	616807374
7374	1972	93	616811247
39453	1981	39	616811250
69472	1978	5	616839860
912279	1986	29	616844022
13150	2006	1175	616851041
27820	1992	5	616851164
10393	1982	186	616855678
545751	2021	5	616863169
59688	1984	5	616875509
13564	1995	5	616876362
240225	2021	5	616878964
241689	2021	5	616878990
7916	2013	1164	616887703
72173	1977	29	616889853
826282	1990	186	616893239
6544	2008	39	616895117
902319	1983	29	616897782
511020	1979	39	616897822
15130	2010	1164	616911101
71672	2008	5	616931301
28696	1994	5	616936863
34051	2005	5	616942373
402362	2021	12	616943667
279	2021	1275	616943690
406	2021	1275	616943710
22655	2007	39	616946535
402387	2021	12	616971513
600184	2021	5	616976960
600150	2021	5	616976963
600562	2020	5	616976980
600549	2020	5	616976983
29886	2007	5	616987829
624046	1985	29	616989575
568938	2021	5	616989821
574463	2021	5	616989827
1996	2006	5	616995463
100098	2009	5	616997229
110581	1985	39	616997421
117542	1987	39	617005247
827228	2018	5	617010385
26942	2004	1175	617020810
918971	2010	29	617020979
51492	1999	5	617030840
240080	2012	29	617036834
16765	2004	39	617037690
73705	2004	5	617054026
844995	1999	29	617054521
265609	2011	5	617061909
180053	2010	5	925852
90711	2011	1175	937459
2639	1966	39	1101807
886881	1990	29	1137135
12931	1980	39	1219906
53798	1990	39	1275352
5011	2013	12	1315681
29477	2003	5	1315824
16874	2000	12	1316474
7524	2011	5	1317470
42421	2005	39	1393591
411035	1986	39	613343203
14223	1988	119	613397650
312503	1979	39	613456241
6705	1979	119	613565813
31423	1969	39	613624067
340456	2012	29	613799544
86070	2012	1175	613894377
835995	1999	29	614007023
108987	1983	5	614104100
217046	1981	5	614355186
81925	1987	29	614369839
2262	1995	5	614378343
81029	1977	5	614386802
240957	1989	29	614388556
66303	1984	5	614388599
436581	1993	29	614389776
20181	1988	29	614395309
262859	1989	5	614422050
22051	1971	186	614436866
624107	1976	6711	614448685
50022	2020	1487	614698649
550606	1989	29	614821514
396	2017	12	614825896
697661	1986	29	614831524
50254	2019	1487	614912686
50050	2019	1487	614912714
50292	2019	1487	614912743
50105	2019	1487	614912797
50049	2019	1487	614929852
50129	2019	1487	614929855
50174	2019	1487	614929866
50261	2019	1487	614929869
50118	2019	1487	614929872
50231	2019	1487	614929886
50195	2019	1487	614929889
50189	2019	1487	614929892
50113	2019	1487	614929998
50124	2019	1487	614930001
50167	2019	1487	614930035
50074	2019	1487	614939913
50286	2019	1487	614943285
50293	2019	1487	614943752
50120	2019	1487	614943772
50010	2020	1487	614954134
84534	1991	29	615128506
271201	1984	5	615365523
217093	2005	29	615473220
